AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
Syllabus, the	謬說表；異端邪說錄 (1)1864 年教宗碧嶽九世所公佈。 (2)1907 年教宗碧嶽十世把極端現代主義亦曾列入表中。 
symbol	 (1) 信經。 (2) 象徵；表記；標記；符號即 symbols ，如十字架是基督教的象徵，魚是基督徒的象徵。同 symbolon 。拉丁文為 symbolum 。
symbolic theology	象徵神學；信條學。 
symbolon (Gr.)	信經；象徵。同 symbol 。 
synagogue	地方教堂；集會會堂；聚（集）會猶太教徒集會祈禱之處。 
synaxis	聚會；感恩聚會指東方禮教會的聚會。 
synod	會議；教會會議；宗教會議；主教會議討論決定教會政策、管理、和教義等等問題的宗教會議。 
synod, diocesan	教區會議教區主教所召開的全教區會議，出席成員除主教、副主教、主教代表外，也包括司鐸、平信徒、修會代表等（法典 460-468)。 
synod, national	全國教務會議某國的全體主教共同召集的宗教會議，以商討全國性的宗教事務。 
synod of bishops	世界主教會議乃世界各地區主教定期之集會，以促進教宗與主教之間的密切聯繫，並協助教宗，保全及發展信德和道德、維護及加強教會的紀律、研究教會在現世行動的有關問題等（法典 342)。 
synopsis	 (1) 對觀福音詳見 synoptic Gospels 。 (2) 大綱（意）；概要。 
Synoptic Gospels	對觀（照）福音；福音合參瑪竇、瑪谷和路加三福音的內容、結構及文詞彼此非常相似，並列印在一起，謂之對觀福音（書）。 
Syrian Rite	敘利亞禮舉行宗教儀式時，採用敘利亞的禮儀，即安提約基雅禮。又稱 Syriac Liturgy of Antioch 。 
tabernacle	 (1) 聖龕；聖體龕；聖體櫃。指天主教聖堂內存放耶穌聖體的櫃子。 (2) 會幕；帳棚神幕指舊約可移動的帳棚式神殿，其中存放結約之櫃。 (3) 會堂；教堂；禮拜堂。拉丁文稱作 tabernaculum 。 
tabernacle veil	布幔；帳幕 (1) 指罩在聖體櫃外的布幔，又稱聖體龕幔、櫃簾。 (2) 古教時圍在聖所外的帳幕。 
Talmud	猶太法典猶太民族口傳法律彙集成冊之文集。 
Tantum Ergo (L.)	「皇皇聖體」歌聖體降福時所唱聖歌的前兩字；是一首歌頌至聖聖體偉大神奇的詩詞，詳見 Pange Lingua 。 
Taoism	 (1) 道家指以老子、莊子思想為主的哲學體系，通稱道家或老莊哲學 Taoist philosophy 。 (2) 道教指西元二世紀末，融合古代中國民間宗教信仰和習俗而成的宗教體系 Taoist religion 。同 Daoism 。 
Te Deum Laudamus (L.)	「天主，我們讚美禰」詩「讚美天主」詩歌的首句，于感恩禮儀時，向天主表示感恩及讚頌之意的拉丁聖歌。 
teaching office of the Church	教會訓導職；教會教誨權主基督曾將信仰寶庫托給教會，使其因聖神的助佑，得以保全、探究、宣講並闡明啟示的真理。此一天賦義務和權利，得用所有傳播工具向全人類宣講福音，不受任何人間權力的限制。此外，無論何時何地，亦有權宣報有關社會秩序的倫理原則，以及判斷攸關人靈得救的事物（法典 747)。同 magisterium 。 
teaching order	教職修會以從事教育為目標的修會，如慈幼會、聖母昆仲會等。 
temperance	 (1) 節德是控制感官的（過分）貪求，乃四樞德之一。 (2) 節制言詞及行為上的自我約束，尤指潔身自好、節食、節酒等。 
Templars, the	聖殿騎（武）士團由九位法國騎士在 1118 甏戳 ? 諞啡隼洌ㄋ廾攀?罡澆 ? 拇笙茫謀；?釗撕徒袒帷Ｓ殖 ? the Knight of the Templars (Temple)。 
temple	聖殿專為敬神用的處所，尤指古代猶太聖殿，以及希臘、羅馬、埃及、近代印度教以及佛教之廟宇。拉丁文稱作 templum 。 
Temple of the Holy Spirit	天主聖神的宮殿指善人的身體為聖神的宮殿，因為聖神住在善人的心中（格前六 19)。 
temporal power	教宗之世俗權力 (1) 指教宗以梵蒂岡自主國元首的身分，自由掌管梵蒂岡國的事務。 (2) 指昔日教宗有領土時代的元首之權。 
temporalities	教會財產通常用複數。 
temporary vows	暫願；小願指修士及修女完成初學訓練後，先矢發過渡性的暫願，通常是三年到六年。經過長年考驗，認為可以適應此種生活方式後，才矢發終身願，即永願 perpetual vows 。 
temptation	誘惑；引誘來自世俗、肉體、魔鬼等各方面的不良煽動，其進行步驟是暗示→高興→同意，同意表示陷入誘惑，是決定罪過的最後關鍵。天主從不誘惑人，卻允許誘惑發生，而助人抗拒誘惑，進而立下功勞以賺取天國。 
ten Commandments	十誡；天主十誡。見 Commandments of God, ten 。 
Terce	辰時經；午前經。參閱 Breviary 。 
terminus a quo (L.)	起點；出發點。 
terminus ad quem (L.)	終點；目的。 
Terra Sancta (L.)	聖地指耶穌在世時所居住過的地方－巴勒斯坦。英文稱為 Holy Land 。 
tertiary	第三會會友一般指認同某修會宗旨的週邊組織、贊助者。參閱 third order regular / secular 。 
Testament	盟約；經天主與人訂立的盟約，分為 (1) 天主與以色列所訂立的盟約稱為舊約－古經； (2) 基督以聖父名義與人類所訂立的盟約稱為新約－新經。 testament 也指遺囑（命）；約。 
text	經文；正文指聖經文句。 
thanksgiving after Holy Communion	（感）謝聖體領完聖體後用一些時間與主密談，感謝光臨心中的耶穌。 
thanksgiving day	感恩節。美國感謝天主所賜種種恩惠的節日，在十一月的最後一個星期四。 
thaumaturgus (L.)	行（顯）奇跡者；奇跡行使者。有些蒙受天主特別恩惠的聖人可以顯奇跡─神奇功能。最著名的是第三世紀的顯奇跡者．聖國瑞 St.Gregory Thaumaturgus ，所以用他的名字為行奇跡的代言人。近代有聖安道－安東尼 St. Anthonius de Padua 。 
Theism	有神論；一神論此理論相信天主存在和啟示，但不一定相信三位一體或降生等。與無神論 atheism 相對照。 
theo-	神原為希臘字「神」，其後習慣再加其他的字，如 theo-logy 就是「神學」的意思。 
theocracy	神權政治（國家）；神治國神透過其代表掌管國家（政治）和宗教等事務，由此而產生政教合一的所謂僧侶政治（統治）。早期以色列曾有此種體制。天主教主張政教分離。 
theodicy	自然神學；原神學經由理性研究天主的事理。拉丁文稱作 theodicea 。 
theologian	 (1) 神學家。 (2) 神學生；神學修士（在天主教神學院中）讀神學的修士。 
theological life	超性生活亦即信、望、愛（天主）的生活。 
theological virtues	超性三德信、望、愛三德，是人直接對天主的敬禮行為。同 infused 或 supernatural virtues 。 
theology	 (1) 神學對神及超自然界的探討。 (2) 宗教學對宗教的知識和信仰作有系統的研究。拉丁文稱作 theologia 。 
theology, ascetical	神修學；靈修（神）學；苦行學講授有關愛主愛人、克己苦行、度嚴格自律生活的神學。 
theology, biblical	聖經神學；聖經中的神學討論有關聖經的神學。 
theology, dogmatic	教理神學；信理神學；教義神學列舉有關天主的各種信理之神學。 
theology, moral	倫理神學；道德神學討論有關人的品行、風紀、行為標準、是非原則、倫理道德等學問，指導人類透過分享天主的生活，以便報答天主對世人的愛。 
theology, mystical	神秘神學講授、尋求、接近天主，藉以瞭解人類所不能明白的真理。 
theology, natural	自然神學；原神學講授基於理性的宗教及倫理知識，亦即從人的理性，探討天主及超自然的學問；與啟示神學 theology, revealed 相對照。 
theology, pastoral	牧靈神學；神牧神學；傳教學講授聖職人員如何做好聖職人員分內之工作，就是效法善牧耶穌，牧放羊群－人靈（若十 1-20)。 
theology, positive	實證神學利用啟示、聖經、聖傳（傳承）等方法的神學研究。 
theology, revealed	啟示神學從天主啟示而得來的有關天主的知識；與自然神學 theology, natural 相對照。 
theology, scholastic	士林神學中世紀之經院神學。 
theology, spiritual	神修學；靈修學是助人修持身心，以達到與天主合一的終極圓滿境界之學科。 
theonomy	神律。 
theophany	神的顯現；天主顯現。 
Theotokas (Gr.)	天主之母第四世紀時東方教會對聖母瑪利亞的稱呼。拉丁文為 Deipara 或 Dei Genitrix 。 
Thessalonians, Epistle to the	得撒洛尼書；帖撒羅尼書（基）乃聖保祿宗徒於西元 51-52 年間寫給得撒洛尼信友的書信，為解答他們的疑難問題，並改正他們的毛病。共分前、後書。 
third order regular	修道第三會；第三會會士（友）指認同並依附某（古老男）修會之會規，而矢發簡式聖願的會士，多為女修會。如署名為方濟的修女會即是。 
third order secular	在俗第三會指認同並依附某（古老）修會之會規，卻不矢發聖願的一般男女教友，只以靈修為目的，而仍在世俗中生活者。如在俗聖衣會即是。同 tertiary 。 
Thomas Aquinas, St.	聖道茂．亞奎納舊名多瑪斯（湯姆斯、湯瑪斯），乃道明會士，著名神、哲學家，著作等身，以神學集成為代表作，被封為教會聖師。 
Thomism	道茂（多瑪斯）學派主張聖道茂的哲學或神學觀點的學者。 
throne, episcopal	主教寶座在主教座堂內專為主教設立的座位。 
Thrones	上座天使（神）圍繞在天主四周的天使。參閱 Choirs of Angels 。 
thurible	提爐；香爐在禮儀中奉香所使用之金屬容器，將乳香撒在燃燒之木炭上，芳香上升天空，聊表對造物主崇敬的心意。 
thurifer	司香；拿提爐者在儀式中手拿香爐的輔祭者。 
Thursday	星期四；禮拜四；瞻禮五。 
tiara (L.)	三重冠；教宗冠象徵教宗之訓誨、聖化、治理三項神權，今已廢止，只戴一層冠，與主教所戴者相同。 
Timothy, Epistle to	弟茂德書；提摩太書（基）聖保祿宗徒寫給弟茂德的書信，勸勉愛徒弟茂德，應如何管理教會及照顧人靈。共分前、後書。 
tithes	什一捐教友將收入（薪資所得）的十分之一捐贈給教會，以維持教會必要的開銷（肋廿七 30)。舊約視為理所當然，天主教未曾嚴格要求，基督教卻有不少教派嚴守此項規定。 
titular bishop	名義主教；榮譽主教享用古老而今已不存在的（某地）主教之榮銜，只是名義上的領袖而已。如某位主教為某地之名義主教，實際上對該地並無實權。與有實權的教區主教相對照。 
Titus, Epistle to	弟鐸書；提多書（基）乃聖保祿宗徒寫給門生弟鐸的書信，約於西元 65 年所寫，教導弟鐸管理教會與人靈之道。 
Tobit, the Book of	多俾亞傳舊約之一部，記述一個充軍亞述，熱心猶太家庭的傳奇故事。又稱 Tobia 。 
tolerance, religious	宗教容忍指尊重、同情、友愛地對待與自己信仰不同的人。是基於對人權的尊重；但容忍不等於贊成對方的信仰，也不表示對宗教信仰持模棱兩可態度。 
tongues of fire	火舌耶穌升天後的五旬節，天主聖神降臨在宗徒身上時，所呈現火舌的形象，因此火舌成為聖神之象徵（宗二 3-4)。 
Tonsure	 (1) 剪發禮昔日修士在領受神品前的第一步驟。現已廢除。 (2) 發圈聖職人員在頭頂所剪之光禿圓頂；現已廢除。 
Torah	梅瑟五書；摩西五書（基）；律法；托拉（音譯）；教律；法律書指梅瑟的法律，涵蓋梅瑟給以色列人所宣佈的最重要之歷史和法律，計有五書創世紀、出谷紀、肋未紀、戶籍紀、申命紀。 
toties quoties (L.)	有幾次算幾次；次數不限、每次可得天主教之全大赦恩寵，只要符合條件，領多少次皆可，並無次數之限制。為拉丁文之術語。 
Tract	連唱詠；連吟詞昔日彌撒中福音前代替阿肋路亞的簡短懺悔詞。 
tractarian	單張運動者；時代小冊子作者；牛津運動者。亦即 Oxford movement 。 
tractatus (L.)	講論；解釋。 
tradition	聖傳；傳統；傳承指教會信仰、教理、禮儀和聖經的傳承，亦即啟示的流傳。起初，耶穌和眾使徒用口傳方式傳佈福音，而遠在新約問世之前，教會就教導人類遵守耶穌所吩咐的一切（瑪廿八 20)。在教會流傳的教導（道理、文獻、教父著作、禮儀、習慣）中，有的列為編寫新約的題材，有的雖未直接列入新約，但教會視為祖傳至寶，一直流傳至今，成為聖經以外的信仰啟示源頭，我們稱之為聖傳、傳統、傳承。 
tradition, apostolic　	宗徒傳承；宗徒聖傳。拉丁文稱作 traditio apostolica 。 
tradition, divine	聖傳。詳見 tradition 。 
tradition, ecclesiastic	教會傳統（承）。 
train, bishop's	主教長（尾）禮服往昔主教大禮服的長尾巴－拖曳至地的長袍。現已廢除。 
transcendence	超越；超越性；卓越。 
transfer	調職；調任；轉移；轉換；遷移。 
transfiguration of Christ	耶穌顯容；耶穌變聖容耶穌在世時曾在三位元宗徒面前，顯示祂天主性的榮耀，藉以彰顯其默西亞的使命（參閱瑪十七）。 
transfinalization	目的變換；目的轉換指復活的耶穌基督臨在於聖體聖事的餅酒形內，乃神學上的用語。 
transmigration	輪回；轉生從宗教角度看，指死時從一個身體轉移到另一個身體。佛學相信有再生（再世），過程是生、死，接著是另一個生命的迴圈，直到這輪回的主體進入涅盤 nirvana －完全自由、寧靜的境界，此過程稱為輪回。 
trans-signification	意義變換。 
transubstantiation	實（本）體變換；體變；變質（質變）指面餅和葡萄酒經司祭祝聖後，轉變為耶穌的聖體、聖血，只留下餅酒的外形。 
Trappist	苦修會士；熙都隱修會士以禁言及嚴肅規律度苦修生活的隱修士。 
Treasury of Church	教會寶庫；善功寶庫又稱 Treasury of Merits ；指教會所珍藏的一切善功。耶穌基督以天主聖子身分所立下的功勞是無限的，再加上聖母瑪利亞和聖人們的（多餘的）功勞；教會將這些精神的資源拿來幫助需要的人，包括悔過後死去的煉獄中的靈魂，希望天主看在耶穌和聖人們的功勞分上，讓他們少受些煉獄之苦，稱之為大赦－只赦免暫罰；而這些功勞只為補償罪過之「罰」，並無法赦「罪」，故不能稱大赦為赦罪券。 
Trent, Council of	脫（特）利騰大公會議；特倫多大公會議從 1545-1563 年由教宗保祿二世、猶理二世及碧嶽四世在脫（特）利騰（特蘭特）所召開和主持的大公會議。 
Tribunal of Apostolic See	宗座法院羅馬教宗為普世天主教之最高審判官，得以其本人，或以宗座普通法院，或以其所委派之審判官，行使其審判權（法典 1442)。 
Tridentine Mass	脫（特）利騰彌撒指脫利騰（特倫多）大公會議所制定的彌撒禮儀，即梵二前用拉丁文所舉行的彌撒。又稱特倫多彌撒。 
triduum (L.)	 (1) 三日敬禮天主教為祈求某種特恩而舉行的連續三日的祈禱儀式。 (2) 聖周最後三日的敬禮主建立聖體日、主受難日、復活前夕。同 Triduum, Easter 。 
Triduum, Easter	逾越節三日慶典；復活節三日慶典從聖週四開始的三日慶典，包括主的晚餐彌撒、主受難日（紀念救主受難儀式）、復活前夕守夜禮。 
triennial vows	三年聖願通常修士或修女在矢發終身聖願前，先矢發為期三年的過渡性（考驗性）聖願。 
trination	三重祭特權正常情況下每位元司祭每天只准舉行一台彌撒。教會只准許耶誕節和追思已亡日一天可以舉行三台彌撒。此外，在特殊情況下，為了教友牧靈的需要，始特准一天舉行三台（或二台）彌撒。 
Trinitarian	三位一體的；聖三的。 
Trinity, Holy	三位一體；天主聖三即聖父、聖子、聖神（靈）。唯一的天主，卻有三位。天主聖三奧跡包括愛的給予〔陽〕、愛的接受〔陰〕、愛的合一〔合〕。又稱 Blessed Trinity 。 
Trinity Sunday	聖三節（瞻禮）；聖三主日特別敬禮天主聖三的主日，通常在聖神降臨後的主日。 
triptych	三折聖畫像；三連聖像三幅相聯的聖人（天主）圖畫或浮雕。 
truth	真理；真相；真實 (1) 哲學方面指名副其實。 (2) 倫理方面指言行一致。 (3) 神學方面指天主揭示的事物真相，讓世人認識天父，好能在天國與主永遠團聚（參閱若十八 37)。 
truth, revealed	啟示真理天主所揭示的真理。 
Tuesday	星期二；禮拜二；瞻禮三。 
tunic	五、六品祭衣類似古羅馬及希臘時代所穿的長及膝部、短袖或無袖的寬大外衣；現已取消五品，但仍在使用六品（執事）祭衣，又稱執事服。 
tunicle	五、六品祭衣。同 tunic 執事服。 
tutiorism	安全主義一種用較妥當的方式，解釋法律的倫理原則。 
Twelve Apostles	十二位宗徒。詳見 apostle 。 
twice-born	重生的；改過自新的。 
type	象徵；預兆；預像；模範；典型；原型。 
type, messianic	救世主的預像；救世主的預兆指默西亞的預像（兆）。 
typology	預像學；預示論；預兆學研究舊約中的人物及事件在新約中實現的學問。 
ubiquity of God	天主無所不在；天主到處都在。指天主處處都在，也就是天主的遍在性，亦即我國民間所流傳的舉頭三尺有神明。 
UIOGD (L.)	在一切事上光榮天主本篤會標語，是拉丁文 ut in omnibus glorificetur Deus 的縮寫。英文稱作 that God may be glorified in all things 。 
Ultra-montanism	教宗至高無上論。 
ultreya (Sp.)	小組會；勵志會指基督活力運動的集會，每週一次，每次以十五分鐘為限，檢討靈修及福傳工作。 
unam sanctam (L.)	 (1) 至一、至聖通常前面加 Credo 我信，後面加 Ecclesiam 教會，即我信至一、至聖的天主教會。整體來說，應再加上「至公、從宗徒傳下來的教會」方能完全解釋天主教會的屬性。 (2) 至一、至聖詔書教宗博義(Boniface)八世於 1302 年頒佈之詔書，聲明聖座之首席權。 
un-bloody sacrifice	不流血的祭獻指彌撒中的祭祀，即耶穌聖體聖血的祭獻。 
unction	傅（敷）油擦聖油可增加精神的力量，譬如教會在堅振或病人聖事中的傅油禮即是。同 anointing 。 
understanding	明達對信仰和宗教有充分的認知，乃聖神七恩之一。詳見 gifts of the Holy Spirit 。 
Uniate Churches	合一教會；複合教會指與天主教複合的東方禮教會。 
Unigenitus (L.)	唯一聖子 (1) 指獨生子耶穌基督。 (2)1713 年教宗克勉十一世排斥楊森學派 Jansenism 之通諭亦用此名稱。 (3)1343 年教宗克勉六世以此名稱宣佈聖年大赦之詔書。 
union, hypostatic	位格聯合神學上基督之天主性位格與人性位格之合一。 
union, mystical	神秘結合靈魂與天主的密切結合，是天主賜與的特殊恩惠。 
union with God	與主結合指人靈與天主密切結合。 
Unitatis Redintegratio (L.)	《大公會議》法令梵二大公會議文獻之一(21.11.1964)。簡稱 UR 。 
unitive way	合路經由耶穌與天主穩定而密切地結合為一，為神修學天人合一之路的最後階段，另兩路為煉路及明路。詳見 illuminative 。 
unity	至一；唯一（性）；獨一教會特徵之一，其他三特徵為 Holy 至聖、 Catholic 至公、及 Apostolic 從宗徒傳下來的（教會）。 
Unity, Christian	基督徒的合一。 
universalism	救恩普遍論；大同論；普世論 (1) 主張全體世人都終將得救，天主教曾斥為異端。 (2) 四海之內皆兄弟，每人都奉召為基督神秘的肢體。 
universality	全體性；普遍性；普及性。 
universities, pontifical	宗座大學由教廷（教育部）設立的大學。 
unleavened bread	無酵餅西方教會祝聖聖體所用之未發酵的餅。 
Urban University, Pontifical	伍朋大學；吳爾班大學；傳信大學 1627 年教宗伍朋（吳爾班）八世創立於羅馬。開始為學院 College ，後改為大學。 
Urbi et Orbi (L.)	羅馬城及世界；教宗特別祝福指教宗登極或於耶誕節、復活節時，在聖伯鐸大殿陽臺上，為羅馬及普世祝福；原字為拉丁文，意為「羅馬城及世界」。 
Ursuline	吳蘇樂（修女）會由聖安琪拉．麥莉奇(St. Angela Merici)于 1537 年所創立之從事教育工作的修會，全名為 Order of St. Usula ，簡稱為 O.S.U. 。 
use of reason	運用理智；開明悟指（兒童開始）懂事，並能分辨是非、善惡。 
usual conditions	普通條件指獲得教會全大赦 plenary indulgence 之條件，亦即辦告解、領聖體及照教宗意向祈禱。與特別條件 special conditions 相對照，亦即（一般指）誦念天主經、聖母經、聖三光榮頌各六遍。 
utopia	烏托邦原意指不存在的地方，或望梅止渴的理想境界；就像儒家的大同世界、陶淵明的世外桃源。最早提出的是柏拉圖；後來又有數位學者潛心研究；最為學術界注意的是 Thomas More 的烏托邦理論。可見烏托邦思想反映人類追求美好未來的遠景，也正是基督所宣傳的天國基督徒的烏托邦在不斷改造的世界中，終將具體實現出來。 
vacancy	出缺。教會職務因死亡、辭職或解職而出缺。 
vacant see	主教牧座出缺。詳見 sede vacante (L.)。 
vagus (L.)	住所不定者；居無定所者指無住所 domicile ，或無准住所 quasi-domicile 的教友。沒有（不在）住所或准住所者稱旅客、僑民 peregrinarian 。是教會法名詞。 
vain observation	迷信行為如占卜、招魂、看風水等。 
Valentine's Day	聖華蘭亭節；情人節（俗稱）第三世紀時，羅馬仍在用兵時期，已結婚青年在戰場自以保身為重，心中難免有所牽掛，故禁止役男結婚。傳說聖華蘭亭原是一位神父（主教），曾秘密為役男證婚；皇帝奧列利安 (Aurelia 270-275) 發覺後，於西元 273 年 2 月 14 日將其斬首；情人節的故事可能由此而來，但教會並未訂情人節。 
valid but illicit	有效但非法教會法用語，多指婚姻案件。 
validity of marriage	婚姻之有效性。 
vas sacra (L.)	聖器；祭禮用具。 
Vatican	梵蒂岡宮；梵蒂岡國指教宗居住地和教廷（政府）所在地，座落在羅馬西北的一個小山崗上。目前是教宗的行政中心。詳見 Vatican City, the State of 。 
Vatican City, the State of	梵蒂岡國；梵蒂岡城邦遠自羅馬皇帝君士坦丁（西元 313 年）公佈米蘭詔書後，教宗就陸續接受教友捐獻的土地，十五世紀時教宗的土地累積到一萬六千多平方哩，居民三百萬。自 1860 年始，義大利王國逐漸併吞教宗的國土，至 1870 年連羅馬也據為己有。教宗自囚梵蒂岡宮內以示不滿。 1929 年義大利政府與教宗締結「拉特朗協定」，正式成立梵蒂岡獨立國，成為世界最小的國家，位於羅馬市西北隅，占地 108.7 英畝－包括著名的伯鐸大殿和博物館，教宗為元首，僅有約一千居民－多為辦公的神父及會士，另有數百教友公務人員。 1985 年義大利再將另十所（教堂）建築和教宗的岡道爾夏宮也歸還梵蒂岡教廷。 
Vatican Council I	第一屆梵蒂岡大公會議由教宗碧嶽九世召開並主持(1869-1870)。共八百位主教參加，會議中確定聖座不可錯誤的教義。 
Vatican Council II	第二屆梵蒂岡大公會議由教宗若望廿三世召開(1962-1965)，教宗保祿六世完成，簡稱「梵二」。主題為教會現代化的革新。參加的主教和教長共 2860 人，公佈了四件憲章、九件法令、三項宣言，作為教會改革之藍圖。 
vegetative soul	生魂。 
veil	 (1) 聖覆蓋聖爵之罩布。 (2) 修女的頭紗。 (3) 披肩聖體降福所用的披肩。拉丁文稱為 velum 。 
Venerable	可敬的；尊敬的；真福的（聖人）簡稱 Ven. 。指 (1) 列入聖人（品級）前的初步頭銜，又稱真福的。 (2) 對聖職人員的尊稱。 (3) 教宗稱主教為可敬的弟兄 Venerable Brother 。 
veneration	敬禮；恭敬；敬奉又稱 dulia 。指教會針對一般列品聖人（真福），所推動的真誠和正確的敬禮，使信徒藉聖人的榜樣而聖化，並賴其轉禱而獲得支援。為促進天主子民的成聖，教會也鼓勵信徒以特殊孝愛之情敬禮童貞聖母瑪利亞（法典 1186)，此種對聖母之特殊敬禮稱為 hyperdulia 。至於對造物主天主的專用敬禮，就截然不同，稱為 adoration 欽崇、崇拜。 
Veni Creator Spiritus (L.)	「造物者聖神，請降臨」詩；伏求聖神降臨詩乃向聖神祈求的拉丁文詩歌，為中世紀七大聖詩之一，相傳為 Rabanus Maurus (776-856)所作。聖秩聖事或重要會議時多採用之。英文稱作 Come Creator Spirit 。 
Veni Sancte Spiritus (L.)	「聖神，請降臨」經；聖神降臨經是拉丁文的聖神祈禱文。聖神降臨節必念（唱）之。英文稱作 Come, Holy Spirit 。 
venial sin	小罪；輕微的過失。詳見 sin, venial 。 
Verbum (L.)	道；聖言指天主聖三的第二位聖子，亦即降生成人的耶穌基督（若一 1-18)。英文稱作 Word 。 
vernacular Bible	母語聖經；本地語聖經；本國語聖經將聖經譯成當地語文以便閱讀。 
Veronica's Veil	聖帕；聖顏巾相傳耶穌背十字架途中（苦路第六處），聖婦勿洛尼加呈獻與耶穌拭面之聖帕，耶穌受苦難的聖容就神奇地印在帕上。 
version of the Bible	聖經之譯本最初有希臘、阿拉美、敘利亞語等譯本。聖業樂的拉丁文通俗譯本成為教會指定的標準本。中文也有多種譯本，目前教會（包括本辭典）多採用香港思高聖經學會譯釋的聖經。 
Very Reverend	極可敬的縮寫為 V. Rev. 或 Very Rev. ，是對主教、蒙席等教會高級聖職人員之尊稱。 
Vespers	晚禱；晚課日課經中於晚間誦念的經文。參閱 Breviary, Liturgy of the Hours 。 
vessel, sacred	祭器；聖器舉行聖祭時所使用的器皿，如聖爵、聖體盒等。 
vestments, sacred	祭衣（服）司祭舉行宗教儀式時所穿的特製服飾。 
Vetus Testamentum (L.)	舊約；古經簡稱 V.T. ，英文稱 Old Testament 。 
Vg.	通用本（聖經）；普及本（聖經）乃拉丁通用聖經本 Vulgate 的縮寫。 
via (L.)	 (1) 路；道路耶穌自稱是道路－領人走向天國之路。 (2) 十字苦路亦即耶穌背十字架赴刑場時所走過的苦路 Via Crucis 。 
viaticum (L.)	臨終聖體；天路行糧教友病重垂危或年老力衰時，所領的聖體。 via 原意為路，表示請耶穌聖體伴隨臨終者走完人生的最後一段旅程，領他到天國去。 
vicar	代表；代理；副手依法代理教會主管處理其事務者。 
vicar apostolic	宗座代牧簡稱 V.A. 。詳見 apostolic vicariate 。 
vicar capitular	代理主教教區主教出缺、新主教尚未產生前，執行經常性（主教）職務的聖職人員。 
vicar episcopal	主教代表教區主教為妥善治理教區，可任命一位或數位主教代表，代其承擔某些職務（法典 476)。 
vicar forane	總鐸；總本堂司鐸一個教區可劃分為若干總鐸區，負責總鐸區之司鐸為總鐸，總鐸區下又可分為若干（本）堂區。又可稱作 dean 或 archpriest （參閱法典 553-555)。 
vicar general	 (1) 副總會長修會中輔佐總會長的上司，在其出缺時負責全會事務。 (2) 副主教每一教區應設立副主教，以協助主教治理整個教區（法典 475)，簡稱 V.G. 。參見 vicar episcopal 。 
Vicar of Christ	基督之代表指羅馬教宗。 
vicariate, apostolic	宗座代牧區。詳見 apostolic vicariate 。 
Vicegerent	 (1) 基督之代表指教宗。 (2) 副主教羅馬教區之副主教。 
Vicesimus Quintus Annus (L.)	《第廿五年》書函為教宗若望保祿二世所公佈的有關禮儀與文化的書函(4.12.1988)。 
victim of divine love	神聖犧牲；神愛犧牲指基督在十字架上為全人類的罪過所作的犧牲。 
Victimae Pascali (L.)	復活節繼抒詩原意指逾越節的犧牲，取自該詩的首句。 
Vidi Aquam (L.)	我見到水指復活期彌撒前灑聖水禮時，所用拉丁文聖歌之首句，是由厄則克耳先知「神視之水」章句改編而成（則四十七 1-12)。 
Vienne, Council of	維也諾大公會議；維安乃大公會議 1311 年 -1312 年在法國維也諾（維安乃）所舉行的大公會議。 
vigil	 (1) 前夕；望日教會慶節前夕。 (2) 守夜祈禱。 
vigil light	聖體燈；常明燈指點燃在聖體、聖像前或墓地上的長明燈，象徵祈禱之燈。 
Vincentians, the	遣使會；文生會由聖文生（萬生、萬桑）．味增爵 St. Vincent de Paul (1580-1660)于 1625 年創立于法國的修會，該會以培育聖職人員和救濟窮人為宗旨。 1699 年來到中國，除供職朝廷外，並在河北、蒙古、河南、浙江等地傳教。臺灣光復後也來臺北、嘉義、台南及高雄教區服務。舊稱味增爵會。 
violation	褻瀆；冒犯；破壞 (1) 褻瀆聖堂。 (2) 褻瀆聖職人員。 (3) 褻瀆聖地。 (4) 破壞秘密；洩密因職務或承諾守密而洩露者。 
virgin	 (1) 童貞；（童）貞女；處女（的）拉丁文稱作 virgo 。 (2) 至聖童貞指聖母瑪利亞(Virgin)。 
Virgin, the Blessed	至聖童貞聖母。 
Virgin Mary	童貞瑪利亞通常稱 Blessed Virgin Mary ，簡稱 B.V.M. 。 
virginal conception	童貞懷孕聖母瑪利亞因聖神受孕，仍保留其童貞狀態。 
virtue	 (1) 德行；德性；美德易於向善的能力。一般分為本性的智、義、勇、節四樞德，和超性的信、望、愛三超德。 (2) 能力；德能；神能；德。拉丁文稱作 virtus 。 
virtue, heroic	英勇（豪）之德；超凡之德非一般凡夫俗子所能表現出的德行。 
virtue, infused	天賦德性；注賜之德指天主賜與善人靈魂的特殊寵愛，使之直接與主（秘契）結合之德。 
virtue, moral	道義之德；倫理之德；倫理德性指一切合乎人性及神律修養（向善）的好習慣，使人易於正確地達到超性目的，主要有智、義、勇、節四樞德和服從、貞潔、謙虛、善良等等。 
Virtues	異能（力）天使。詳見 choirs of angeles 。 
virtues, intellectual	理智之德追求真理的好習慣，如聰明、智慧、謹慎等。 
virtues, supernatural	超性之德天主直接灌注人靈之德，讓每一受洗者得以獲得超性的力量，以助其修德立功。 
virtues, theological	神學德性；超德；天賦之德單獨直接以天主為追求之物件和目的，亦即信、望、愛天主之三德。 
visibility of the Church	有形教會指現世之教會。教會的訓誨經由聖職人員、禮儀、教宗、主教、神父 … 等活動顯而易見，雖然精神方面的恩寵和效益或許是看不到的。 
