Baptist Church	浸信會基督教更生團體之一，強調施行浸禮的重要性。又稱 Baptists 。 
Divine Person	天主位格；神格。詳見 Personal God 。 
residential bishop	教區主教；正權主教為教區的主管－最高負責人。在聖統制下每若干教區組成一個教省－往往與國家的省或州相同，教省主教稱為總主教，該省其他主教稱為隸屬主教，參閱 bishop, suffragan 。 
Christian commitment	基督徒的效命；基督徒的獻身。 
apostolic administrator	宗座署理為教宗所委任治理某地區的主教（或司鐸）。詳見 administration, apostolic 。 
spiritual Communion	神領聖體指不能實際領聖體時，以心領受的善情。 
profession of faith	信仰的宣認；信仰的表白包括宣佈信仰的行動和經文。譬如教會首長就職前應作信仰的宣認。 
confer the Holy order	授聖秩（職）；授聖品。 
Book of Psalms	聖詠集；詩篇（基）為舊約智慧書七部之一，原為以色列人讚頌天主的詩歌。全書共 150 篇，其中半數為達味 David 所作，故又稱達味聖詠。是一部修心養性的萬用祈禱手冊，耶穌經常引用聖詠向聖父抒懷、感謝、讚頌、祈求。聖詠集在教會禮儀祈禱中佔有舉足輕重之地位。彌撒和日課均大量採用。 
the Vulgate	拉丁聖經通俗本（聖經）指從西元 382 到 405 年間由聖業樂 St. Jerome 所譯成的拉丁文聖經。拉丁文稱作 Vulgata ，簡稱 Vg. 。 
act of contrition	 (1) 悔罪經；痛悔經。常用者為天主耶穌基利斯督，我重罪人，得罪于天主，而今為天主，又為愛天主在萬有之上，一心痛悔我之罪過（三次），定心再不敢得罪於天主，望天主全赦我之罪。阿們。 (2) 發痛悔；悔罪行為。 
the Five Wounds	五傷指基督被釘十字架上兩手兩足及肋旁之傷。 
Sacraments of initiation	入門聖事指成人進入基督徒團體的全套儀式，包括聖洗、堅振、聖體三件聖事。 
Epistle to Titus	弟鐸書；提多書（基）乃聖保祿宗徒寫給門生弟鐸的書信，約於西元 65 年所寫，教導弟鐸管理教會與人靈之道。 
blessing of water	 祝聖聖水通常在聖週六復活前夕禮儀中祝聖聖水。 
the governing power of the Church	教會的治理權。詳見 power of governance 。 
the Lord's Supper	 (1) 最後晚餐指耶穌受難前夕，與門徒最後的一次晚間聚餐（瑪廿六 17-21)，拉丁文稱作 Coena Domini 。 (2) 聖餐；聖餐禮基督徒紀念最後晚餐所舉行之禮儀。 
Sacrament of Confession	懺悔聖事；告解聖事；和好聖事；辦告解；辦神工。詳見 Penance, Sacrament of 。 
Epistles (I, II, III) of St. John	若望一，二，三書新約書信，為第一世紀末葉，使徒聖若望所寫，為若望福音之延續。強調天主是光、是父、是愛；人應彼此相親相愛。 
general Judgement	公審判世界末日時萬民都要接受天主公開、公平、公正的嚴厲審判（瑪廿五 31-46)。又稱 Judgement, final 。 
messianic type	救世主的預像；救世主的預兆指默西亞的預像（兆）。 
ecclesiastical authority	教會權威基督建立的教會，既是人間的團體，需要一些有權力的人，排難解紛、主持聚會、服務會眾。這個來自耶穌任命的權力，就是所謂教會權威。掌權者像父母般，在福傳上，生育、帶領、訓練、培育、指導天主的子女。 
the Supreme Good	至善神哲學用語，指天主。拉丁文稱作 Summum Bonum 。 
the Blessed Virgin	至聖童貞聖母。 
chinese Bible	中（華）文聖經唐朝的景教（異端）未見留下聖經譯文。英國新教早在 1822 年就出版了「新舊遺詔全書」中文聖經。天主教在廿世紀時，始有耶穌會蕭靜山的「新經全集」；直到 1968 年，方濟會思高聖經學會經過多年努力(1945-1968)，才正式出版了全套中文「聖經」譯本，從此天主教總算有了自己的中文聖經。 1975 年，台港聖經公會出版了中文譯本的「新約全書」天主教版。 1998 年，香港天主教國際聖經學會、聖母聖心愛子會、聖言會聯合出版了中文的「牧靈聖經」，提供了我中華兒女多一種的選擇。 
Book of Habacuc	哈巴穀書。舊約先知書；哈巴穀為十二小先知之一，他在神視中，默觀天主威嚴降臨，執行公義的審判，並解答先知的種種疑問；該書約成于紀元前 605-597 年之間。亦稱 Habakkuk 。 
ecclesiastical hierarchy	聖統制；聖秩階級；教會體制；教權制度教會的領導階層 (1) 依聖職品位而言，指神職、神權的秩序，聖統包括主教、司鐸（神父）及執事（六品）（法典 1008-1009)。 (2) 依行政權力而言，指管理、領導的治權，聖統包括教宗、主教及其所轄之聖職人員（法典 333 ； 336)。 
definition of dogma	欽定信條；信理定斷；信理界定指教會最高訓導權－教宗或大公會議的眾主教，以其不可錯的特恩，隆重宣佈應當信從的信仰或道德教義（法典 749)。 
Divine Office	日課。詳見 Breviary 。 
catechetical instruction	教理講授；要（教）理教學；教理訓練為人講授天主教教義，以實踐信仰和基督化生活（法典 773-760)。 take catechetical instruction 指聽講天主教教理。 give catechetical instruction 指講授天主教教理。 
jewish religion	猶太宗教指猶太民族對唯一真神上主（雅威）天主的信仰、禮儀朝拜以及遵守法律的生活態度。由始祖亞巴郎開始，組成了一個敬拜唯一天主的民族，再由梅瑟正式立法。 
formula of absolution	赦罪經和好（告解）聖事中，聽告解的司鐸代表耶穌，赦免懺悔者的罪過時所誦念的經文。 
Book of Esther	艾斯德爾傳；以斯帖記（基）舊約史書之一，記載紀元前四世紀末，猶太女英雄艾斯德爾拯救猶太人免於滅亡厄運的事蹟。 
hypostatic union	位格聯合神學上基督之天主性位格與人性位格之合一。 
Eucharistic Species	聖體之（餅、酒）形像祝聖後之面餅成為耶穌聖體，葡萄酒成為耶穌聖血，但外表的餅、酒形像依舊。又稱 Sacred Species 。 
Book of Wisdom	 智慧篇（書）舊約之一，寫於西元前第二世紀初，作者不詳，書中將自己的訓誨、教導歸功於「智王」撒羅滿，旨在安慰並堅固僑居海外的猶太同胞。 
diocesan council	教區會議。詳見 synod, diocesan 。 
spiritual works of mercy	 神哀矜（施捨）；精神援助（佈施）如祈禱、克苦等；按昔日要理問答記載共七項以善勸人、啟誨愚者、責有過者、赦侮我者、恕人醜行、為生者祈（禱）、為死者祈（禱）。 
efficacious grace	實效聖寵；有效聖寵在靈魂上能發揮功效的聖寵。 
feast of All Saints	諸聖節；萬聖節（基）人類所知的天朝聖人非常有限，為免遺珠之憾，教宗博義四世(608-616)於西元 608 年將羅馬之萬神廟(Pantheon)獻給聖母及全體殉道者。教宗國瑞四世(827-844)於 834 年訂十 一月一日 為諸聖節，通令普世教會特別紀念並恭敬所有已升天的聖人、聖女。英國稱為 All Hallows 。 
titular archbishop	領銜總主教即享有總主教的名銜而無管區的高級聖職人員。 
Sacrament of Orders	聖秩聖事七件聖事之一，是在基督徒中，某些男性透過聖秩聖事的神印，被立為聖職人員，就是被祝聖，並被委任，按照不同的等級，負起教導、聖化、治理的職務，並牧養天主的子民。聖秩等級分為主教、司鐸（神父）、執事（六品）（參閱法典 1008-1054)。又稱 holy order 。 
foreign mission	到國外傳教（佈道）；外方傳教指遵照基督的命令「你們往普天下去，向一切受造物宣傳福音」（穀十六 15)。 
ecclesiastical region	區域性教會某些國家，相鄰之教省可由聖座聯合成為區域性教會（法典 433-434)。 
hell fire	地獄之火新經形容處罰惡人（永不止息）的地獄之火。 
provincial superior	修會之省會長；省長；區會長某修會依其人數之多寡或地區之特性，將某些會院劃為一個會省之負責人。 
Chinese Rites Controversy	中國禮儀之爭。詳見 Chinese Rites Controversy 。 
ecclesiastical calendar	教會曆書；瞻禮單記載教會全年禮儀的日曆，又稱 liturgical calendar 。拉丁文稱作 calendarium 。詳見 Ordo 。 
Sacrament of Baptism	聖洗聖事；洗禮；浸（水）禮人經由洗禮，罪過獲得赦免、重生為天主的子女、進而藉神印結合於基督而加入教會。聖洗聖事乃其他聖事之門（法典 849)，拉丁文稱作 baptismus 。 
the Lord's Prayer	天主經；主禱文耶穌親授門徒的祈禱文（路十一 2-4 ；瑪六 9-15)。全文為我們的天父，願禰的名受顯揚。願禰的國來臨。願禰的旨意奉行在人間，如同在天上。求禰今天賞給我們日用的食糧。求禰寬恕我們的罪過，如同我們寬恕別人一樣。不要讓我們陷於誘惑，但救我們免於兇惡。阿們。同 Our Father 。 
midnight Mass	子夜彌撒；子時彌撒子夜時舉行的彌撒；如耶誕節前夕的彌撒。 
Book of Chronicles	編年紀；歷代志（基）舊約史書，又稱 Paralipomenon ，意為「史事補遺」，分上下兩卷，記載自亞當起，至巴比倫被擄期結束－包括居魯士王(Cyrus)准許以色列人返回巴勒斯坦(536 B.C.)在內的事蹟。 
first vows	初願；小願通常以一年到三年為期的過渡性三聖願。 
Books of Samuel	撒慕爾紀；撒母耳記（基）舊約史書之一，分上、下兩卷，作者未詳，約成于紀元前 622 年以後。書中記述由民長末期至達味老年為止的重要歷史（紀元前 1070-970)。依希臘及拉丁通行譯本，將本書上、下與列王紀 Books of Kings 上、下合併，通稱為列王紀，共四卷，為記載以色列歷代君王之正史。 
Epistles of St. Peter	伯多祿前、後書；彼得前、後書（基）新約宗徒書信之一，分前、後書。旨在堅固小亞細亞教友的信德，也駁斥假教師的謊言。 
basic community	基層教會團體。詳見 Basic Christian Community 。 
Pastoral Epistles	牧靈書信保祿所寫涉及牧靈問題的三篇書信，即弟茂德前、後書和弟鐸書。 
Garden of Eden	地堂；樂園；伊甸園舊約創世紀中，人類始祖墮落前所居住的樂園（參閱創二 4-17)。 
home mission	在國內傳教（佈道）有些（不屬於傳教區的）國家，因缺少司鐸而號召修會會士或其他地區神父，來主持並開展國內教務。 
Book of Baruch	巴路克書；巴錄書（基）舊約先知書之一，相傳為巴路克流亡于巴比倫時所著；這位耶肋米亞的忠實弟子，寫書安慰受難的同胞。 
veneration of saints	聖人敬禮指恭敬那些在世效法基督，蒙召升天的基督徒。教會初期開始敬禮聖母和宗徒，後來也敬禮為主舍生的殉道者，逐漸延伸到生活像似基督的聖人，視為基督徒生活的見證和模範。中世紀又借重聖人與天主共融的關係，將聖人當作求恩的物件，發揮諸聖相通功的功效。參閱 veneration 。 
local superior	修會之地方（會）院長職掌修會之基層團體－會院者。 
Holy Roman Church	羅馬天主教會；羅馬聖教；天主教 (1) 特指羅馬教區。 (2) 指西方、拉丁禮教會。 (3) 也可指整個天主教，包括東、西方禮。 
the atonement	神人和解；贖罪經由基督的降生、苦難、聖死，罪人重回天主懷抱。 
St. Matthew	聖瑪竇；聖馬太（基）原是稅吏，後被耶穌召選為宗徒（瑪九 9)，也是瑪竇福音的作者。 
high Mass	大彌撒；詠唱彌撒通常歌唱「求主垂憐經、光榮頌、信經、歡呼歌、除免世罪天主羔羊」等歌曲的彌撒。是梵二大公會議前的稱呼。 
Sacrament of Holy Orders	聖秩聖事；聖品。詳見 Orders, Sacrament of 。 
religious medals	聖牌刻有宗教人物之金屬小牌。教友佩帶聖牌，以提高宗教虔誠。 
canonical provision	法定授予；法定任命；法定委任。 
John Henry, Cardinal Newman	紐曼樞機英國神學家和作家(1801-90)，由英國國教皈依天主教，並升為樞機。 
venial sin	小罪在小事上違反天主的誡命，或雖在大事上，但並不太明瞭、或並非完全故意的違反天意，因此並未自絕於天主，故易於獲得赦免。 
Council of Vienne	維也諾大公會議；維安乃大公會議 1311 年 -1312 年在法國維也諾（維安乃）所舉行的大公會議。 
the Son	聖子；天主聖子；子三位一體天主的第二位。拉丁文為 Filius ，昔日音譯為「費略」，今已不用。 
diabolical possession	附魔指某人被惡神的奇特力量所支配之現象，因而導致自我意識失控。新約稱此力量來自魔鬼或撒殫。有些征狀與精神病類似，若就醫無效，最後教會再決定可否行驅魔（邪）儀式。又稱 possessed by the devil 。 
Book of Jeremiah	耶肋米亞書；耶律米書（基）舊約四大先知之一。耶肋米亞一方面從事拔除、破壞、毀滅、推翻的任務，另一方面執行建設和栽培的使命，預言默西亞必由達味後裔中出生，並建立新的永恆盟約。 
St. Matthias	聖瑪弟亞；聖瑪迪；聖馬提亞（基）猶達斯死後，遞補其缺之宗徒（宗一 1-26)。 
allegoric exegesis	寓意釋經法。 
the Hebrew Bible	希伯來文聖經用希伯來文寫的舊約聖經。 
adoration of the cross	朝拜十字架（苦像）尤指聖周主受難日對十字架的特殊敬禮。又稱 cross, veneration of the 。 
Holy Family	聖家指由耶穌、瑪利亞、若瑟所組成的神聖家庭。 
apostolic tradition	宗徒傳承；宗徒聖傳。拉丁文稱作 traditio apostolica 。 
Pontifical Institute for Oriental Studies	教廷東方研究所 1917 年由教宗本篤十五世(Benedict XV)所創立，研究東方教會的一切事物，附屬于羅馬國瑞大學 Gregorian University 。 
moral law	道德律；倫理律指規範人類避惡行善的命令，包括理性生活、社會生活、基本人權等等。道德律一方面基於萬物的本性，又稱自然道德律 natural law ；一方面基於天主的命令，對基督徒而言，具體表現在聖經的十誡中。與（不訴諸人類意志的）物理律(physical law)相對照。 
supernatural virtues	超性之德天主直接灌注人靈之德，讓每一受洗者得以獲得超性的力量，以助其修德立功。 
Ecumenical Council	大公會議由教宗召集全球主教及有關人士參加的會議。迄今已舉行廿一次；最近一次為　 1962-1965 年所召開的第二屆梵蒂岡大公會議。拉丁文稱作　 concilium oecumenicum 。詳見本書附錄。 
Lateran Council	拉特朗大公會議。詳見　 Lateran Councils 。 
Perform the Way of the Cross	 拜苦路四旬期教友通常（在星期五）集體拜苦路；私人或團體皆可隨時拜苦路，與主共患難。 
Old Catholic Church	老（派）天主教會一群神父及教友，因拒絕梵一大公會議(1869-1870)帶來的改革－尤其教宗首席權和不能錯之信理，而另立門戶，堅持原有的信仰，故名老派天主教會。 
St. Augustine	聖思定；聖奧斯定教會學者、聖師、會祖(354-430)。 
partial indulgence	（有）限大赦；局部大赦。詳見 indulgence 。 
private cult	私人敬禮。 
Triumphant Church	凱旋的教會；得勝的教會；勝利的教會指戰勝罪惡、凱旋升天的天朝諸聖。詳見 Mystical Body (of Christ)。 
obligation of Mass	彌撒義務教友于主日及教會法定節日（耶誕節）有參與彌撒之義務。 
public oratory	公開小教堂修會或某社團公用之教堂，一般教友亦可入內參禮。 
Catholic Action	 (1) 公教進行會。 (2) 公教進行運動。詳見 Catholic Action 。 [ 按公教為天主公教之意 ] 
the teaching power of the Church	教會的訓導權。 
diabolical obsession	附魔；著魔。 
Council of Constantinople	君士坦丁堡大公會議在君士坦丁堡共計召開了四次大公會議。詳見附錄。 
Canon Law	天主教法典。詳見 Canon Law, Code of 。 
act of charity	 (1) 愛德頌經文之一，大意是「天主，我愛禰在萬有之上，並為了禰而愛人如己」。 (2) 慈善行動。 (3) 愛德行為激發愛心的內在或外在的行動。 
discernment of spirits	辨別神類清楚指出一些善神（天主或天使）與惡神（魔鬼）的行動特徵，是靈修術語。聖羅耀拉．納爵對此很有經驗。其心理過程是由外在經驗、感受去瞭解事物，透過反省、審斷就採取行動。 
the faithful	教友；信友；教徒；平信徒；信徒。又稱 Christian 或 laity 。 
Council of Trent	脫（特）利騰大公會議；特倫多大公會議從 1545-1563 年由教宗保祿二世、猶理二世及碧嶽四世在脫（特）利騰（特蘭特）所召開和主持的大公會議。 
the Eastern Church	東方教會；東正教泛指採用與羅馬禮不同的東方禮之基督徒團體。 
Spanish Inquisition	西班牙宗教裁判所 1478 年西班牙女王依撒白拉(Isabella)要求教宗思道四世許可成立法庭，以處罰異端分子，因其手段殘酷，經教宗思道四世指責，無效；直至十九世紀初始取消。 
plenary indulgence	全部大赦；全大赦。詳見 indulgence 。 
Commission of Sacred Archaeology	宗座考古委員會教宗碧嶽九世(Pius IX)于 1851 年成立，旨在探勘並研究地下墓穴(catacombs)和梵蒂岡博物館，其最大貢獻是在伯鐸大殿下發現聖伯鐸之墓。 
dispensation from a vow	豁（寬）免守願許願後因無法、或不願實踐誓願（約）時，可經由教會主管解除之。 
divine will	 天主的聖意（旨）；天主的安排舊約指天主的忠告、恩惠、渴望；新約指天主救人的永恆計畫。 
Book of Proverbs	箴言舊約智慧書七部之一，具有文學小說體裁，全書共分八篇，內容為勸人立身處世、推己及人和敬畏天主的至理名言。 
forms of piety	熱心善功。 
Pontifical Urban University	伍朋大學；吳爾班大學；傳信大學 1627 年教宗伍朋（吳爾班）八世創立於羅馬。開始為學院 College ，後改為大學。 
Congregation of Holy Office	聖職部教廷聖部之一，教宗保祿三世成立於 1542 年；原名宗教裁判所，曾給教會帶來麻煩；現改名為教義部，專司有關信仰、道德事項。 
Epistle of St. James	雅各伯書；雅各書（基）新約書信之一；作者是耶穌的堂兄弟或表兄弟、耶路撒冷的主教，又名次雅格宗徒；書信中充滿山中聖訓的精神，指導教友倫理生活規則。 
the sign of the cross	十字聖號。 
territorial abbacy	自治會院區。詳見 abbot 。 
theological virtues	神學德性；超德；天賦之德單獨直接以天主為追求之物件和目的，亦即信、望、愛天主之三德。 
Book of Revelation	默示錄；啟示錄（基）新約中之最後一卷，為若望宗徒所寫，約完成於紀元後一百年。是新約中唯一的先知書，作者以七個教會象徵全教會；並以基督的最後勝利，鼓勵遭受迫害的教友。又稱 Apocalypse 。 
Holy Father	聖父對教宗的尊稱。 
low Mass	小彌撒只念不唱（某些經文）的彌撒，以別於大彌撒。是梵二大公會議前的稱呼。 
state of perfection	完美境界；成全地步 (1) 絕對完美境界指在天堂上與天主永遠完美無缺的結合。 (2) 相對完美境界指在世界上（以煉路、明路、合路三步驟）與天主有限度的結合。 (3) 修會生活（瑪五 48)。 
spiritual bouquet	神花。詳見 spiritual bouquet 。 
scrupulous conscience	多疑良心因違背常理的懷疑而引起心中的不安，是一種病態。 
Reformed Church	改革（宗）教會；革新教會指十六世紀宗教改革運動後所產生的教會。而長老會在許多非英語國家稱為改革教會。至於天主教本身受到宗教改革運動的刺激和效應，所作的正面回應和修正，稱為天主教復興 Counter Reformation 。 
Holy Ghost	聖神；聖靈天主第三位。又稱作 Holy Spirit 。 
mental reservation	意中保留。詳見 mental reservation 。 
Catholic Church	天主教會；公教會指公教會－天主教會，乃歷史上由耶穌基督親自創立、一直延續到今天的教會。至於其他自稱屬於基督的教會，都是從這古老的天主教會先後分離出來的。明末羅明堅、利瑪竇等傳教士到中國時，將公教會稱為天主教（會），因此「天主教會」就是西文的「 Catholic Church 公教會」。參閱 marks of the Church 。 
the Salesians	慈幼會（士）；鮑斯高會；撒肋爵會義大利人聖若望．鮑斯高 St. Giovanni Bosco (1815-1888)于 1859 年創立于義國北部杜林(Torino)之男修會。以普及平民教育、救助失學青年為目的。首創青年之家，收留街上流浪之不良少年，設職業學校、孤兒院、並出版優良讀物。 1902 年到中國，在廣東傳教。於香港、澳門、上海、北平等地創設學校、孤兒院、青年中心等。在澳門開辦慈幼印書館。 1951 年來臺灣，在臺北創辦華明書局，在台南設慈幼高工，在屏東潮州接辦少年城。該會全名為 Society of St. Francis de Sales 或稱 Salesian of Don Bosco ，簡稱為 SDB ，舊稱 SS 。 
mortal sin	大罪。詳見 sin, grave 。 
titular bishop	領銜主教；名譽（義）主教每位主教接受祝聖時，均應有一名銜；教區主教以其所屬教區為名銜，而對非教區主管（主教），譬如任職教廷的高級聖職人員、助理主教、輔理主教等，教會則給予一個「古老已不存在之教區」的主教名銜。與 bishop, diocesan 教區主教相對照。 
Sacred Congregation of Ceremonies	典禮部教廷聖部之一，管理非宗教禮儀者，如教宗宮廷之禮節等；由教宗西斯篤五世(Sixtus V)成立於 1588 年。 
the Redemptorists	贖世主會乃 1732 年聖雅風（亞豐肅） Alphonsus Liguori 創立於義大利的修會，以在教友生活落後地區（鄉村）傳教為目的。 1928 年來到中國察哈爾省輔佐新創立的主徒會；後到河南西平傳教。該會全名為 Congregation of the Most Holy Redeemer ，縮寫為 C.SS.R. 。 
positive theology	實證神學利用啟示、聖經、聖傳（傳承）等方法的神學研究。 
election of pope	教宗選舉；選舉教宗教宗是由全體樞機選舉產生的。當選教宗者由於其本人接受合法選舉，同時已被祝聖為主教（大都已經是主教，否則，應立即祝聖為主教），而獲得教會完滿的、最高的權力（法典 332)。 
theology of liberation	解放神學；解救神學解放原是聖經的主要觀念，宣示天主如何解救祂的百姓。而解放神學是梵二後，在拉丁美洲針對殖民時期導致的普遍貧窮，所宣導的一種神學，鼓勵教友積極參加改造社會之神學理論，與救主基督一齊把世界由痛苦、迫害、罪惡中解救出來。 
simple vows	簡願；簡式誓願泛指一般後起（非古老）的修會所矢發的願，實質上與古老修會所矢發的顯願無異。 
ecclesiastical colo(u)r	教會慣用顏色。詳見 colors, liturgical 。 
Pentecostal Church	五旬節教會；神召會。詳見 Pentecostal Church 。 
internal forum	內庭；內心範圍；內在範圍指教會處理教友個人之良心問題；屬於良心道德範圍，如懷恨人，以聖化權可赦免之。 
ecclesiastical penalty	教會的懲（刑）罰又稱 penal sanction 。教會對領洗者的制裁或懲罰，共分三種 (1) 懲戒罰計有絕罰 excommunication 、禁罰 interdict 、停職罰 suspension 。 (2) 贖罪罰 expiatory penalties 。 (3) 預防罰 penal remedies 。 
the Rosary	 (1) 玫瑰經古代修士每日有誦念 50 首聖詠之習慣。中世紀聖母敬禮流行，修士用以獻給聖母，猶如壹串玫瑰花，故稱玫瑰經。一般教友不諳（拉丁文）聖詠，遂以 50 次聖母經代替，並以串珠計數，謂之（玫瑰）念珠 Beads 。念珠每串 53 小珠， 6 大珠及一苦像，每小珠念聖母經，大珠念天主經及聖三光榮頌，並默想耶穌及聖母之事蹟，每串又分歡喜、痛苦、榮福各五端，參閱 corona 。 Rosary 又稱 Rosarium 。 (2) 念珠念玫瑰經時計數之用。早期隱修士為虔誠理由，願意多念些經文，用卵石果核投入籃內計數，之後逐漸演變成今日多采多姿的念珠。 
